Insurer,Best Model,Best Test MAPE,Naive MAPE,Seasonal Naive MAPE,ARIMA MAPE,Tuned SARIMA MAPE,Default Prophet MAPE,Tuned Prophet MAPE
LIC,Default Prophet,3.491818213892025,8.18587901865198,7.931797626570776,8.20296875780764,5.3266090718266454,3.491818213892025,6.803965262808824
SBI Life,Seasonal Naive,4.982062528219555,7.13591366094727,4.982062528219555,6.66257010691666,7.554469360967879,11.039747979789128,11.039747979789128
Max Life,Naive,6.0751150041484125,6.0751150041484125,12.990681895093312,6.257650989537031,8.674239573110876,12.323186456346589,12.791065828778022
Tata AIA,Naive,8.163932051498087,8.163932051498087,10.941176852708777,8.223314671528472,8.185820274588659,9.975663957583368,9.919153694041363
HDFC Life,ARIMA,8.451678822494936,10.423074422564694,11.549486460507481,8.451678822494936,9.859978284643793,14.896660081497332,14.90708426961142
Bajaj Allianz,Naive,11.005967677571405,11.005967677571405,13.945214159057489,11.307722569209083,11.157789546050672,13.417798674486168,14.216387476067693
Aditya Birla Sun Life,ARIMA,12.862114327398308,15.638015273115947,15.0592224942871,12.862114327398308,12.959900163986884,16.16067268114345,16.55786766391712
ICICI Prudential,Seasonal Naive,14.558308986810617,15.266583305339779,14.558308986810617,16.423321732610336,15.048938732753689,17.60185091618133,17.60185091618133
