Insurer,Final Model,Test MAPE,Historical Avg Premium,Historical Max Premium,Historical Min Premium,Historical Growth %,12 Month Forecast,Average Forecast,Minimum Forecast,Maximum Forecast,Forecast vs Historical %,Forecast Volatility %
Aditya Birla Sun Life,ARIMA,,21468168343.75,28002226600,17274750100,58.63722828387933,295371677231.9237,24614306435.99364,24571559656.635235,25007697196.644836,14.654897622691559,0.5089826319014095
Bajaj Allianz,Naive,,15781570150.0,21082208100,10056599200,25.25802438661917,213013033200.0,17751086100.0,17751086100.0,17751086100.0,12.479847893968902,0.0
HDFC Life,ARIMA,,21027123712.5,27392676000,16050851100,6.526467711540429,267874770246.26294,22322897520.52191,22320567183.59807,22323110773.45645,6.162392088137155,0.0032875618582758814
ICICI Prudential,Seasonal Naive,,18380966710.416668,24216381600,11754113500,84.00192505765325,254929236800.0,21244103066.666668,16748253400.0,24216381600.0,15.576636427002684,11.149226699492841
LIC,Default Prophet,,176032148333.33334,215764248400,134436946100,31.0736786083739,2600793613810.9985,216732801150.91653,198866321025.6806,225558451190.3289,23.1211475874922,3.1887252858765183
Max Life,Naive,,15472239975.0,19548391300,11902897400,32.82930880271022,221554828800.0,18462902400.0,18462902400.0,18462902400.0,19.32921432082429,0.0
SBI Life,Seasonal Naive,,25103263235.416668,32499728600,18182862800,25.146736593651863,337753405800.0,28146117150.0,23339132200.0,32499728600.0,12.12134807354589,8.030449381806333
Tata AIA,Naive,,15249291658.333334,19926535200,9986706000,18.10001364500872,210809038800.0,17567419900.0,17567419900.0,17567419900.0,15.201547020053685,0.0
