payment_mode,policies,renewed_policies,total_premium,renewed_premium,renewal_rate,premium_mix_pct,renewed_premium_mix_pct
Monthly,41729,34761,6674379340500,5572898794700,83.30178053631766,38.61245027266338,37.6325766917339
Annual,25331,22398,4974504687200,4404710163800,88.42130196202281,28.778378492831024,29.74405226983608
Quarterly,24948,21361,4221483952900,3622218317900,85.62209395542729,24.4220220177037,24.460054571996427
Half-yearly,7992,6803,1415194819400,1208881785300,85.12262262262263,8.187149216801897,8.163316466433596
