Insurer,Default Prophet MAE,Default Prophet RMSE,Default Prophet MAPE,Tuned Prophet MAE,Tuned Prophet RMSE,Tuned Prophet MAPE,Best Changepoint Prior Scale,Best Seasonality Prior Scale,Best Seasonality Mode
LIC,19949561536.272198,21165147080.92738,9.83742733851612,8673729485.057356,11236644287.395992,4.351267571077488,0.05,10,additive
SBI Life,2366520055.2606015,2958605036.6025805,8.127742365175823,1928668741.6874123,2392882699.326831,7.049547711302327,0.1,10,additive
Tata AIA,1923328979.4963014,2440733026.6614738,10.400848729019286,1320047241.2152328,1727479696.1247947,7.212303115664004,0.05,10,additive
Max Life,1894349040.9141724,2072313271.6963985,10.518460833134103,1427613277.125187,1619953647.337812,8.086151113455568,0.1,10,additive
HDFC Life,2531857689.412798,3093999281.6259465,10.46610257513907,2163980739.9041257,2692918491.353543,9.15841409545279,0.1,10,additive
Aditya Birla Sun Life,3221498473.37052,3856789628.057337,12.653941411004041,2566365752.9461784,3007695218.20651,10.494432923101984,0.05,10,additive
Bajaj Allianz,2058876787.6532516,2489468353.738641,11.07001817052202,1934884295.9969542,2317830902.454761,10.56792895896917,0.05,10,additive
ICICI Prudential,2384259185.3472886,2777624354.9511237,10.90922037537389,3852368004.6946664,4344908367.731676,17.315041168339228,0.5,10,additive
